catogey,model,price ,colour,ram/rom,battery,images,url,review,platform,id
oneplus,oneplus 10 pro,"66,900",volcanic black,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61mIUCd-37L._SX522_.jpg,https://www.flipkart.com/oneplus-10-pro-5g-volcanic-black-128-gb/p/itmcd1af0daf0394?pid=MOBGDHVGFUH7WXRZ&lid=LSTMOBGDHVGFUH7WXRZUEMEHK&marketplace=FLIPKART&sattr[]=color&sattr[]=storage&sattr[]=ram&st=ram,3.9 of 5.0,flipkart,1
oneplus,oneplus 10 pro,"66,800",volcanic black,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61mIUCd-37L._SX522_.jpg,https://www.amazon.in/OnePlus-Volcanic-Black-128GB-Storage/dp/B09V2P9C3S/ref=sr_1_2?keywords=oneplus+10+pro&qid=1655827354&sprefix=oneplus+1%2Caps%2C293&sr=8-2,3.8 of 5.0,amazon,1
oneplus,oneplus 9 RT,"41,999",nano silver,12GB + 256GB,4500mAh,https://m.media-amazon.com/images/I/413bM5FUAEL._SS200_.jpg,https://www.flipkart.com/oneplus-9rt-5g-nano-silver-128-gb/p/itm8c866e1ebfd45?pid=MOBGDKWPYYEJUWZF&lid=LSTMOBGDKWPYYEJUWZF3L0DNQ&marketplace=FLIPKART&q=oneplus+10rt5g&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_na_na_ps&fm=Search&iid=6ac3ed76-187c-4c98-9635-42d4777db9dd.MOBGDKWPYYEJUWZF.SEARCH&ppt=sp&ppn=sp&ssid=m9boizl9z40000001655828006636&qH=4f4231ca11558e70,4.7 of 5.0,flipkart,2
oneplus,oneplus 9RT,"42,800",nano silver,12GB + 256GB,4500mAh,https://m.media-amazon.com/images/I/413bM5FUAEL._SS200_.jpg,https://www.amazon.in/OnePlus-Hacker-Storage-hands-free-capable/dp/B09MQBS6VW/ref=sr_1_1?crid=E85U7A89ALGG&keywords=oneplus+9rt&qid=1655828021&sprefix=oneplus+9+rt%2Caps%2C564&sr=8-1,4.3 of 5.0,amazon,2
oneplus,oneplus 9,"37,999",astral black,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61urU8k2lFL._SX522_.jpg,https://www.flipkart.com/oneplus-9-5g-astral-black-128-gb/p/itm6e4e8a7b40c8d?pid=MOBGDH2PKQMJZFVP&lid=LSTMOBGDH2PKQMJZFVPNZFLUP&marketplace=FLIPKART&q=oneplus+9&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a63f938f-4fa9-43bb-be0a-80fb59b81a91.MOBGDH2PKQMJZFVP.SEARCH&ppt=hp&ppn=homepage&ssid=glslyqeb8w0000001655828726482&qH=59e37c706fadbf39,4.4 of 5.0,flipkart,3
oneplus,oneplus 9,"38,999",astral black,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61urU8k2lFL._SX522_.jpg,https://www.amazon.in/Test-Exclusive_2020_1174-Multi-3GB-Storage/dp/B089MT34QG/ref=sr_1_2?crid=3516K34KMOUV8&keywords=oneplus%2B9&qid=1655828586&sprefix=oneplus%2B9%2Caps%2C280&sr=8-2&th=1,4.1 of 5.0,amazon,3
oneplus,oneplus 10R,"37,800",sierra black,8GB + 128GB,5000mAh,https://m.media-amazon.com/images/I/71BoiXkrEmL._SX522_.jpg,https://www.flipkart.com/oneplus-10r-5g-sierra-black-128-gb/p/itmccf45a394ea16?pid=MOBGEYQ5U6GJTETN&lid=LSTMOBGEYQ5U6GJTETND0EHED&marketplace=FLIPKART&q=ONEPLUS+10R&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=31745a0c-b773-427f-8078-a13cce0a1fe2.MOBGEYQ5U6GJTETN.SEARCH&ppt=pp&ppn=pp&ssid=gq08j7h0340000001655828943674&qH=505cb08de74951f9,4.0 of 5.0,flipkart,4
oneplus,oneplus 10R,"38,999",sierra black,8GB + 128GB,5000mAh,https://m.media-amazon.com/images/I/71BoiXkrEmL._SX522_.jpg,https://www.amazon.in/OnePlus-Sierra-Black-Storage-SuperVOOC/dp/B09WRP2WXG/ref=sr_1_2?crid=2ZA0V6Q3IQMYV&keywords=oneplus%2B10RT&qid=1655828928&sprefix=oneplus%2B10r%2Caps%2C293&sr=8-2&th=1,4.2 of 5.0,amazon,4
oneplus, oneplus 9 pro,"49,990",morning mist ,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61LvUvbZGlL._SX522_.jpg,https://www.flipkart.com/oneplus-9-pro-5g-morning-mist-128-gb/p/itm3892a7120e77b?pid=MOBGDM2PF3ZPKZPY&lid=LSTMOBGDM2PF3ZPKZPYA6WL9F&marketplace=FLIPKART&q=ONEPLUS+9+pro&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=dd8b6e16-5242-4cbc-b43b-ecdcdf54a684.MOBGDM2PF3ZPKZPY.SEARCH&ppt=sp&ppn=sp&ssid=2fmc3wff0g0000001655829330066&qH=b5eafef5c4eb351a,3.9 of 5.0,flipkart,5
oneplus,oneplus 9 pro,"49,999",morning mist ,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/61LvUvbZGlL._SX522_.jpg,https://www.amazon.in/Test-Exclusive_2020_1166-Multi-3GB-Storage/dp/B089MS7D9K/ref=sr_1_1?crid=3FSDWG3DPVBYJ&keywords=oneplus%2B9%2Bpro&qid=1655829334&sprefix=oneplus%2B9%2Bpro%2Caps%2C312&sr=8-1&th=1,4.4 of 5.0,amazon,5
